site,microsite,tag,shrub gender,census,date,treatment,cover ,erodium,showy madia,schismus,bromus,recurved larkspur,lemmon jewel-flower,sand cress,amsinckia,Hordeum,Owls clover,pale-yellow layia,Lasthenia,Poa,Phacelia,total density,richness,native.density,exotic.density,native.richness,exotic.richness,prop.species.invaded,prop.density.invaded
5,Shrub,176,m,3,april 1st,unclipped,40,9,0,0,42,0,0,0,0,0,0,0,0,0,0,51,2,0,51,0,2,1,1
5,Open,177,o,3,april 1st,unclipped,30,29,0,5,3,1,0,0,2,0,0,0,0,0,0,40,5,3,37,2,3,0.6,0.925
5,Shrub,178,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Open,179,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Shrub,180,m,3,april 1st,unclipped,75,34,0,7,23,0,11,0,0,0,0,0,0,0,0,75,4,11,64,1,3,0.75,0.853333333
5,Open,181,o,3,april 1st,unclipped,80,22,0,3,7,0,15,0,0,0,0,0,0,0,0,47,4,15,32,1,3,0.75,0.680851064
5,Shrub,182,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Open,183,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Shrub,184,f,3,april 1st,unclipped,5,5,0,5,8,0,8,0,0,0,0,0,0,1,0,27,5,9,18,2,3,0.6,0.666666667
5,Open,185,o,3,april 1st,unclipped,80,87,0,22,0,0,13,0,0,0,0,0,0,0,0,122,3,13,109,1,2,0.666666667,0.893442623
5,Shrub,186,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Open,187,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shrub,164,m,3,april 1st,unclipped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
6,Open,165,o,3,april 1st,unclipped,5,25,2,0,0,0,5,1,0,0,0,0,0,0,0,33,4,8,25,3,1,0.25,0.757575758
6,Shrub,166,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,167,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shrub,168,m,3,april 1st,unclipped,2,6,0,0,2,0,2,0,0,0,0,0,0,0,0,10,3,2,8,1,2,0.666666667,0.8
6,Open,169,o,3,april 1st,unclipped,5,12,0,0,0,0,15,0,0,0,0,0,0,0,0,27,2,15,12,1,1,0.5,0.444444444
6,Shrub,170,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,171,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shrub,172,m,3,april 1st,unclipped,30,23,0,0,0,0,10,0,7,0,0,0,0,0,0,40,3,17,23,2,1,0.333333333,0.575
6,Open,173,o,3,april 1st,unclipped,20,13,0,0,0,0,19,2,1,0,0,0,0,0,0,35,4,22,13,3,1,0.25,0.371428571
6,Shrub,174,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,175,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
